root	notebook	mention_type	mention
git_sajid_additions	Ssym_ProteinMPNNTesting_V3.ipynb	hardcoded_path	/content/drive/MyDrive/Protein_MPNN_Digging/ProteinMPNN/vanilla_proteinmpnn
git_sajid_additions	Ssym_ProteinMPNNTesting_V6.ipynb	dataset	S_2648
git_sajid_additions	Ssym_ProteinMPNNTesting_V6.ipynb	dataset	Ssym
git_sajid_additions	Ssym_ProteinMPNNTesting_V6.ipynb	artifact	1rtpA.pdb
git_sajid_additions	Ssym_ProteinMPNNTesting_V6.ipynb	artifact	20sets/Ssym.txt
git_sajid_additions	Ssym_ProteinMPNNTesting_V6.ipynb	artifact	Ssym_full_feature_dict.pickle
git_sajid_additions	Ssym_ProteinMPNNTesting_V6.ipynb	artifact	Ssym_pmppn_info_dict.pickle
git_sajid_additions	Ssym_ProteinMPNNTesting_V6.ipynb	hardcoded_path	/content/drive/MyDrive/ACCRE_PyRun_Setup/Ssym_PDB_Files
git_sajid_additions	Ssym_ProteinMPNNTesting_V6.ipynb	hardcoded_path	/content/drive/MyDrive/ACCRE_PyRun_Setup/Ssym_pssm_dir
git_sajid_additions	Ssym_ProteinMPNNTesting_V6.ipynb	hardcoded_path	/content/drive/MyDrive/Colab_Installations_V2
git_sajid_additions	Ssym_ProteinMPNNTesting_V6.ipynb	hardcoded_path	/content/drive/MyDrive/Protein_MPNN_Digging
git_sajid_additions	Ssym_ProteinMPNNTesting_V6.ipynb	hardcoded_path	/content/drive/MyDrive/Protein_MPNN_Digging/ProteinMPNN/vanilla_proteinmpnn
git_sajid_additions	Ssym_ProteinMPNNTesting_V6_V2.ipynb	dataset	S_2648
git_sajid_additions	Ssym_ProteinMPNNTesting_V6_V2.ipynb	dataset	Ssym
git_sajid_additions	Ssym_ProteinMPNNTesting_V6_V2.ipynb	artifact	1rtpA.pdb
git_sajid_additions	Ssym_ProteinMPNNTesting_V6_V2.ipynb	artifact	20sets/Ssym.txt
