root_a	path_a	root_b	path_b	jaccard	containment_smaller	shared_tokens	tokens_a	tokens_b
git_sajid_additions	Quick_Dirty_MPNN_ML_V2.ipynb	git_sajid_additions	Quick_Dirty_MPNN_ML_V2_V3.ipynb	0.4133	0.6493	424	653	797
git_sajid_additions	proteinmpnn_quickdemo.ipynb	drive_nested_proteinmpnn	colab_notebooks/quickdemo_wAF2.ipynb	0.4686	0.6458	403	624	639
git_sajid_additions	Quick_Dirty_MPNN_ML_V2.ipynb	git_sajid_additions	Quick_Dirty_MPNN_ML_V2_VGRAPHS_V1.ipynb	0.3956	0.6263	409	653	790
git_sajid_additions	Ssym_ProteinMPNNTesting_V6.ipynb	drive_nested_proteinmpnn	colab_notebooks/quickdemo.ipynb	0.1439	0.6221	265	1680	426
git_sajid_additions	Ssym_ProteinMPNNTesting_V6.ipynb	drive_nested_proteinmpnn	colab_notebooks/ca_only_quickdemo.ipynb	0.1434	0.6212	264	1680	425
git_sajid_additions	S669_ProteinMPNNTesting_V6.ipynb	drive_nested_proteinmpnn	colab_notebooks/quickdemo.ipynb	0.1444	0.6197	264	1666	426
git_sajid_additions	S669_ProteinMPNNTesting_V6.ipynb	drive_nested_proteinmpnn	colab_notebooks/ca_only_quickdemo.ipynb	0.1439	0.6188	263	1666	425
git_sajid_additions	ProteinMPNNTesting_V6.ipynb	drive_nested_proteinmpnn	colab_notebooks/quickdemo.ipynb	0.1430	0.6174	263	1676	426
git_sajid_additions	ProteinMPNNTesting_V6.ipynb	drive_nested_proteinmpnn	colab_notebooks/ca_only_quickdemo.ipynb	0.1425	0.6165	262	1676	425
git_sajid_additions	ProteinMPNNTesting_V5.ipynb	drive_nested_proteinmpnn	colab_notebooks/quickdemo.ipynb	0.1514	0.6150	262	1567	426
git_sajid_additions	ProteinMPNNTesting_V5.ipynb	drive_nested_proteinmpnn	colab_notebooks/ca_only_quickdemo.ipynb	0.1508	0.6141	261	1567	425
git_sajid_additions	Ssym_ProteinMPNNTesting_V6_V2.ipynb	drive_nested_proteinmpnn	colab_notebooks/quickdemo.ipynb	0.1418	0.6127	261	1676	426
git_sajid_additions	Ssym_ProteinMPNNTesting_V6_V2.ipynb	drive_nested_proteinmpnn	colab_notebooks/ca_only_quickdemo.ipynb	0.1412	0.6118	260	1676	425
git_sajid_additions	S669_ProteinMPNNTesting_V6_V2.ipynb	drive_nested_proteinmpnn	colab_notebooks/quickdemo.ipynb	0.1427	0.6103	260	1656	426
git_sajid_additions	S921_ProteinMPNNTesting_V6_V2.ipynb	drive_nested_proteinmpnn	colab_notebooks/quickdemo.ipynb	0.1425	0.6103	260	1659	426
git_sajid_additions	ProteinMPNNTesting_V6_V2.ipynb	drive_nested_proteinmpnn	colab_notebooks/quickdemo.ipynb	0.1424	0.6103	260	1660	426
git_sajid_additions	S669_ProteinMPNNTesting_V6_V2.ipynb	drive_nested_proteinmpnn	colab_notebooks/ca_only_quickdemo.ipynb	0.1422	0.6094	259	1656	425
git_sajid_additions	S921_ProteinMPNNTesting_V6_V2.ipynb	drive_nested_proteinmpnn	colab_notebooks/ca_only_quickdemo.ipynb	0.1419	0.6094	259	1659	425
git_sajid_additions	ProteinMPNNTesting_V6_V2.ipynb	drive_nested_proteinmpnn	colab_notebooks/ca_only_quickdemo.ipynb	0.1418	0.6094	259	1660	425
git_sajid_additions	Quick_Dirty_MPNN_ML.ipynb	git_sajid_additions	Ssym_ProteinMPNNTesting_V6.ipynb	0.1735	0.6085	328	539	1680
git_sajid_additions	ProteinMPNNTesting_V4.ipynb	drive_nested_proteinmpnn	colab_notebooks/quickdemo.ipynb	0.1559	0.6056	258	1487	426
git_sajid_additions	Quick_Dirty_MPNN_ML.ipynb	git_sajid_additions	Ssym_ProteinMPNNTesting_V6_V2.ipynb	0.1726	0.6048	326	539	1676
git_sajid_additions	ProteinMPNNTesting_V4.ipynb	drive_nested_proteinmpnn	colab_notebooks/ca_only_quickdemo.ipynb	0.1553	0.6047	257	1487	425
git_sajid_additions	Quick_Dirty_MPNN_ML.ipynb	git_sajid_additions	S669_ProteinMPNNTesting_V6.ipynb	0.1722	0.6011	324	539	1666
git_sajid_additions	ProteinMPNNTesting_V6.ipynb	git_sajid_additions	Quick_Dirty_MPNN_ML.ipynb	0.1713	0.6011	324	1676	539
git_sajid_additions	ProteinMPNNTesting_V6_V2.ipynb	git_sajid_additions	Quick_Dirty_MPNN_ML.ipynb	0.1716	0.5974	322	1660	539
git_sajid_additions	Quick_Dirty_MPNN_ML.ipynb	git_sajid_additions	S921_ProteinMPNNTesting_V6_V2.ipynb	0.1716	0.5974	322	539	1659
git_sajid_additions	Quick_Dirty_MPNN_ML.ipynb	git_sajid_additions	S669_ProteinMPNNTesting_V6_V2.ipynb	0.1713	0.5955	321	539	1656
git_sajid_additions	Quick_Dirty_MPNN_ML_V2.ipynb	git_sajid_additions	Ssym_ProteinMPNNTesting_V6.ipynb	0.1970	0.5881	384	653	1680
git_sajid_additions	Quick_Dirty_MPNN_ML_V2.ipynb	git_sajid_additions	S669_ProteinMPNNTesting_V6.ipynb	0.1960	0.5819	380	653	1666
git_sajid_additions	ProteinMPNNTesting_V6.ipynb	git_sajid_additions	Quick_Dirty_MPNN_ML_V2.ipynb	0.1950	0.5819	380	1676	653
git_sajid_additions	Quick_Dirty_MPNN_ML_V2_V2.ipynb	git_sajid_additions	Ssym_ProteinMPNNTesting_V6.ipynb	0.1918	0.5732	376	656	1680
git_sajid_additions	Quick_Dirty_MPNN_ML_V2_V2.ipynb	git_sajid_additions	Ssym_ProteinMPNNTesting_V6_V2.ipynb	0.1916	0.5716	375	656	1676
git_sajid_additions	ProteinMPNNTesting_V5.ipynb	git_sajid_additions	Quick_Dirty_MPNN_ML.ipynb	0.1713	0.5714	308	1567	539
git_sajid_additions	Quick_Dirty_MPNN_ML_V2_V2.ipynb	git_sajid_additions	S921_ProteinMPNNTesting_V6_V2.ipynb	0.1915	0.5671	372	656	1659
git_sajid_additions	ProteinMPNNTesting_V6_V2.ipynb	git_sajid_additions	Quick_Dirty_MPNN_ML_V2_V2.ipynb	0.1914	0.5671	372	1660	656
git_sajid_additions	Quick_Dirty_MPNN_ML_V2_V2.ipynb	git_sajid_additions	S669_ProteinMPNNTesting_V6.ipynb	0.1908	0.5671	372	656	1666
git_sajid_additions	ProteinMPNNTesting_V6.ipynb	git_sajid_additions	Quick_Dirty_MPNN_ML_V2_V2.ipynb	0.1898	0.5671	372	1676	656
git_sajid_additions	Quick_Dirty_MPNN_ML_V2_V2.ipynb	git_sajid_additions	S669_ProteinMPNNTesting_V6_V2.ipynb	0.1911	0.5655	371	656	1656
git_sajid_additions	ProteinMPNNTesting_V5.ipynb	git_sajid_additions	Quick_Dirty_MPNN_ML_V2.ipynb	0.1948	0.5544	362	1567	653
git_sajid_additions	Quick_Dirty_MPNN_ML_V2.ipynb	git_sajid_additions	Ssym_ProteinMPNNTesting_V6_V2.ipynb	0.1834	0.5528	361	653	1676
git_sajid_additions	ProteinMPNNTesting_V4.ipynb	git_sajid_additions	Quick_Dirty_MPNN_ML.ipynb	0.1704	0.5473	295	1487	539
git_sajid_additions	Quick_Dirty_MPNN_ML_V2.ipynb	git_sajid_additions	S921_ProteinMPNNTesting_V6_V2.ipynb	0.1826	0.5467	357	653	1659
git_sajid_additions	ProteinMPNNTesting_V6_V2.ipynb	git_sajid_additions	Quick_Dirty_MPNN_ML_V2.ipynb	0.1825	0.5467	357	1660	653
git_sajid_additions	Quick_Dirty_MPNN_ML_V2.ipynb	git_sajid_additions	S669_ProteinMPNNTesting_V6_V2.ipynb	0.1823	0.5452	356	653	1656
git_sajid_additions	ProteinMPNNTesting.ipynb	git_sajid_additions	proteinmpnn_quickdemo.ipynb	0.2825	0.5369	335	897	624
git_sajid_additions	ProteinMPNNTesting_V5.ipynb	git_sajid_additions	Quick_Dirty_MPNN_ML_V2_V2.ipynb	0.1875	0.5351	351	1567	656
git_sajid_additions	ProteinMPNNTesting_V4.ipynb	git_sajid_additions	Quick_Dirty_MPNN_ML_V2.ipynb	0.1949	0.5345	349	1487	653
git_sajid_additions	Quick_Dirty_MPNN_ML_V2_V4.ipynb	git_sajid_additions	Ssym_ProteinMPNNTesting_V6.ipynb	0.1881	0.5278	380	720	1680
git_sajid_additions	ProteinMPNNTesting_V6.ipynb	git_sajid_additions	Quick_Dirty_MPNN_ML_V2_V4.ipynb	0.1867	0.5236	377	1676	720
git_sajid_additions	Quick_Dirty_MPNN_ML_V2_V4.ipynb	git_sajid_additions	S669_ProteinMPNNTesting_V6.ipynb	0.1871	0.5222	376	720	1666
git_sajid_additions	ProteinMPNNTesting_V4.ipynb	git_sajid_additions	Quick_Dirty_MPNN_ML_V2_V2.ipynb	0.1879	0.5168	339	1487	656
git_sajid_additions	ProteinMPNNTesting.ipynb	drive_nested_proteinmpnn	colab_notebooks/quickdemo.ipynb	0.1962	0.5094	217	897	426
git_sajid_additions	ProteinMPNNTesting.ipynb	drive_nested_proteinmpnn	colab_notebooks/ca_only_quickdemo.ipynb	0.1953	0.5082	216	897	425
git_sajid_additions	Quick_Dirty_MPNN_ML_V2_V4.ipynb	git_sajid_additions	Ssym_ProteinMPNNTesting_V6_V2.ipynb	0.1791	0.5056	364	720	1676
git_sajid_additions	Ssym_ProteinMPNNTesting_V3.ipynb	git_sajid_additions	proteinmpnn_quickdemo.ipynb	0.2809	0.5032	314	808	624
git_sajid_additions	Quick_Dirty_MPNN_ML_V2_V3.ipynb	git_sajid_additions	Ssym_ProteinMPNNTesting_V6.ipynb	0.1932	0.5031	401	797	1680
git_sajid_additions	Quick_Dirty_MPNN_ML_V2_V4.ipynb	git_sajid_additions	S669_ProteinMPNNTesting_V6_V2.ipynb	0.1792	0.5014	361	720	1656
git_sajid_additions	Quick_Dirty_MPNN_ML_V2_V4.ipynb	git_sajid_additions	S921_ProteinMPNNTesting_V6_V2.ipynb	0.1789	0.5014	361	720	1659
git_sajid_additions	ProteinMPNNTesting_V6_V2.ipynb	git_sajid_additions	Quick_Dirty_MPNN_ML_V2_V4.ipynb	0.1788	0.5014	361	1660	720
git_sajid_additions	ProteinMPNNTesting.ipynb	git_sajid_additions	Quick_Dirty_MPNN_ML.ipynb	0.2295	0.4972	268	897	539
