source_kind	source	candidate_kind	candidate	source_words	candidate_words	source_ngrams	candidate_ngrams	source_ngrams_in_candidate_pct	candidate_ngrams_in_source_pct	line_sequence_ratio
docx	V1	docx	SA_9_23_2022_CEM	6109	6771	5602	6164	82.10	74.61	0.8321
docx	V1	docx	SA_CEM_9_26_2022	6109	6771	5602	6164	82.10	74.61	0.8321
docx	V1	docx	SA_CEM_9_26_2022_MJ	6109	6776	5602	6153	77.40	70.47	0.8262
docx	V1	docx	SA_CEM_9_26_2022_MJ_Issue_Adressing	6109	7182	5602	6231	77.13	69.35	0.8262
docx	V1	docx	V1_CEM	6109	1855	5602	1835	27.04	82.56	0.0703
docx	V1	docx	some_soul_wrenching_physics	6109	23834	5602	23028	0.00	0.00	0.0000
docx	V1	pdf	SA_9_20_2022	6109	5932	5602	5866	92.00	87.86	0.0448
docx	V1	pdf	SA_9_20_2022_CEM	6109	5932	5602	5866	92.00	87.86	0.0448
docx	V1	pdf	SA_9_21_2022	6109	6160	5602	6094	91.77	84.36	0.0438
docx	V1	pdf	SA_9_23_2022_CEM	6109	6141	5602	6077	81.11	74.77	0.0416
docx	V1	pdf	SA_CEM_9_26_2022	6109	6139	5602	6075	77.78	71.72	0.0416
docx	V1	pdf	V1_PDF	6109	4264	5602	4206	63.01	83.93	0.0453
docx	V1_CEM	docx	SA_9_20_2022	1855	6528	1835	5943	78.47	24.23	0.0549
docx	V1_CEM	docx	SA_9_20_2022_Equation_Update_Attempt	1855	6565	1835	5980	78.42	24.06	0.0547
docx	V1_CEM	docx	SA_9_21_2022	1855	6764	1835	6179	78.42	23.29	0.0544
docx	V1_CEM	docx	SA_9_23_2022_CEM	1855	6771	1835	6164	67.57	20.12	0.0473
docx	V1_CEM	docx	SA_CEM_9_26_2022	1855	6771	1835	6164	67.57	20.12	0.0473
docx	V1_CEM	docx	SA_CEM_9_26_2022_MJ	1855	6776	1835	6153	62.83	18.74	0.0386
docx	V1_CEM	docx	SA_CEM_9_26_2022_MJ_Issue_Adressing	1855	7182	1835	6231	62.83	18.50	0.0386
docx	V1_CEM	docx	V1	1855	6109	1835	5602	82.56	27.04	0.0703
