notebook	mention_type	mention	cell_index
Quick_Dirty_MPNN_ML_V2_V3.ipynb	artifact	list_incremental_feature_result_dict.pickle	
Quick_Dirty_MPNN_ML_V2_V3.ipynb	hardcoded_path	/content/drive	
Quick_Dirty_MPNN_ML_V2_V3.ipynb	hardcoded_path	/content/drive/MyDrive/ACCRE_PyRun_Setup/{name}_PDB_Files	
Quick_Dirty_MPNN_ML_V2_V3.ipynb	hardcoded_path	/content/drive/MyDrive/Colab_Installations_V2	
Quick_Dirty_MPNN_ML_V2_V3.ipynb	hardcoded_path	/content/drive/MyDrive/Protein_MPNN_Digging	
Quick_Dirty_MPNN_ML_V2_V3.ipynb	hardcoded_path	/content/drive/MyDrive/Protein_MPNN_Digging/ProteinMPNN/vanilla_proteinmpnn	
Quick_Dirty_MPNN_ML_V2_V4.ipynb	dataset	S_2648	
Quick_Dirty_MPNN_ML_V2_V4.ipynb	dataset	S_669	
Quick_Dirty_MPNN_ML_V2_V4.ipynb	dataset	S_921	
Quick_Dirty_MPNN_ML_V2_V4.ipynb	dataset	Ssym	
Quick_Dirty_MPNN_ML_V2_V4.ipynb	artifact	Feature-Feature_Correlation.png	
Quick_Dirty_MPNN_ML_V2_V4.ipynb	artifact	S_2648_pmppn_info_dict_V3.pickle	
Quick_Dirty_MPNN_ML_V2_V4.ipynb	artifact	S_669_pmppn_info_dict_V2.pickle	
Quick_Dirty_MPNN_ML_V2_V4.ipynb	artifact	S_669_pmppn_info_dict_V3.pickle	
Quick_Dirty_MPNN_ML_V2_V4.ipynb	artifact	S_921_pmppn_info_dict_V3.pickle	
Quick_Dirty_MPNN_ML_V2_V4.ipynb	artifact	Ssym_pmppn_info_dict_V3.pickle	
Quick_Dirty_MPNN_ML_V2_V4.ipynb	artifact	incremental_feature_result_dict.pickle	
Quick_Dirty_MPNN_ML_V2_V4.ipynb	hardcoded_path	/content/drive	
Quick_Dirty_MPNN_ML_V2_V4.ipynb	hardcoded_path	/content/drive/MyDrive/ACCRE_PyRun_Setup/{name}_PDB_Files	
Quick_Dirty_MPNN_ML_V2_V4.ipynb	hardcoded_path	/content/drive/MyDrive/Colab_Installations_V2	
Quick_Dirty_MPNN_ML_V2_V4.ipynb	hardcoded_path	/content/drive/MyDrive/Protein_MPNN_Digging	
Quick_Dirty_MPNN_ML_V2_V4.ipynb	hardcoded_path	/content/drive/MyDrive/Protein_MPNN_Digging/ProteinMPNN/vanilla_proteinmpnn	
Quick_Dirty_MPNN_ML_V2_VGRAPHS_V1.ipynb	dataset	S_2648	
Quick_Dirty_MPNN_ML_V2_VGRAPHS_V1.ipynb	dataset	S_669	
Quick_Dirty_MPNN_ML_V2_VGRAPHS_V1.ipynb	dataset	S_921	
Quick_Dirty_MPNN_ML_V2_VGRAPHS_V1.ipynb	dataset	Ssym	
Quick_Dirty_MPNN_ML_V2_VGRAPHS_V1.ipynb	artifact	Feature-Feature_Correlation.png	
Quick_Dirty_MPNN_ML_V2_VGRAPHS_V1.ipynb	artifact	S_2648_pmppn_info_dict_V3.pickle	
Quick_Dirty_MPNN_ML_V2_VGRAPHS_V1.ipynb	artifact	S_669_pmppn_info_dict_V2.pickle	
Quick_Dirty_MPNN_ML_V2_VGRAPHS_V1.ipynb	artifact	S_669_pmppn_info_dict_V3.pickle	
Quick_Dirty_MPNN_ML_V2_VGRAPHS_V1.ipynb	artifact	S_921_pmppn_info_dict_V3.pickle	
Quick_Dirty_MPNN_ML_V2_VGRAPHS_V1.ipynb	artifact	Ssym_pmppn_info_dict_V3.pickle	
Quick_Dirty_MPNN_ML_V2_VGRAPHS_V1.ipynb	artifact	incremental_feature_result_dict.pickle	
Quick_Dirty_MPNN_ML_V2_VGRAPHS_V1.ipynb	artifact	list_incremental_feature_result_dict.pickle	
Quick_Dirty_MPNN_ML_V2_VGRAPHS_V1.ipynb	hardcoded_path	ACCRE_PyRun_Setup/{name}_PDB_Files	
S669_ProteinMPNNTesting_V3.ipynb	dataset	PremPS	
S669_ProteinMPNNTesting_V3.ipynb	dataset	S_2648	
S669_ProteinMPNNTesting_V3.ipynb	dataset	S_669	
S669_ProteinMPNNTesting_V3.ipynb	dataset	Ssym	
S669_ProteinMPNNTesting_V3.ipynb	dataset	s669	
S669_ProteinMPNNTesting_V3.ipynb	artifact	/content/drive/MyDrive/ACCRE_PyRun_Setup/Data_s669_with_predictions.csv	
S669_ProteinMPNNTesting_V3.ipynb	artifact	1rtpA.pdb	
S669_ProteinMPNNTesting_V3.ipynb	artifact	res_dict.pickle	
S669_ProteinMPNNTesting_V3.ipynb	hardcoded_path	/content/drive	
S669_ProteinMPNNTesting_V3.ipynb	hardcoded_path	/content/drive/MyDrive/ACCRE_PyRun_Setup/Data_s669_with_predictions.csv	
S669_ProteinMPNNTesting_V3.ipynb	hardcoded_path	/content/drive/MyDrive/ACCRE_PyRun_Setup/S_2648_PDB_Files	
S669_ProteinMPNNTesting_V3.ipynb	hardcoded_path	/content/drive/MyDrive/ACCRE_PyRun_Setup/S_669_PDB_Files	
S669_ProteinMPNNTesting_V3.ipynb	hardcoded_path	/content/drive/MyDrive/ACCRE_PyRun_Setup/S_669_pssm_dir	
S669_ProteinMPNNTesting_V3.ipynb	hardcoded_path	/content/drive/MyDrive/Colab_Installations_V2	
S669_ProteinMPNNTesting_V3.ipynb	hardcoded_path	/content/drive/MyDrive/Protein_MPNN_Digging	
S669_ProteinMPNNTesting_V3.ipynb	hardcoded_path	/content/drive/MyDrive/Protein_MPNN_Digging/ProteinMPNN/vanilla_proteinmpnn	
S669_ProteinMPNNTesting_V6.ipynb	dataset	PremPS	
S669_ProteinMPNNTesting_V6.ipynb	dataset	S_2648	
S669_ProteinMPNNTesting_V6.ipynb	dataset	S_669	
S669_ProteinMPNNTesting_V6.ipynb	dataset	Ssym	
S669_ProteinMPNNTesting_V6.ipynb	dataset	s669	
S669_ProteinMPNNTesting_V6.ipynb	artifact	/content/drive/MyDrive/ACCRE_PyRun_Setup/Data_s669_with_predictions.csv	
S669_ProteinMPNNTesting_V6.ipynb	artifact	1rtpA.pdb	
