colab_notebook	git_notebook	same_filename	jaccard	containment_smaller	shared_tokens	colab_tokens	git_tokens
Ssym_ProteinMPNNTesting_V6_V2.ipynb	ProteinMPNNTesting_V5.ipynb	False	0.8431	0.9566	1499	1710	1567
ProteinMPNNTesting_V4.ipynb	ProteinMPNNTesting_V6_V2.ipynb	False	0.8243	0.9563	1422	1487	1660
S669_ProteinMPNNTesting_V6.ipynb	Ssym_ProteinMPNNTesting_V3.ipynb	False	0.4573	0.9554	772	1652	808
Ssym_ProteinMPNNTesting_V3.ipynb	S669_ProteinMPNNTesting_V6.ipynb	False	0.4536	0.9554	772	808	1666
ProteinMPNNTesting_V5.ipynb	S921_ProteinMPNNTesting_V6_V2.ipynb	False	0.8658	0.9553	1497	1567	1659
ProteinMPNNTesting_V4.ipynb	S921_ProteinMPNNTesting_V6_V2.ipynb	False	0.8217	0.9543	1419	1487	1659
ProteinMPNNTesting_V4.ipynb	Ssym_ProteinMPNNTesting_V6_V2.ipynb	False	0.8136	0.9543	1419	1487	1676
Ssym_ProteinMPNNTesting_V6_V2.ipynb	ProteinMPNNTesting_V4.ipynb	False	0.7981	0.9543	1419	1710	1487
S669_ProteinMPNNTesting_V6_V2.ipynb	ProteinMPNNTesting_V6.ipynb	False	0.9034	0.9541	1599	1693	1676
S669_ProteinMPNNTesting_V6_V2.ipynb	Ssym_ProteinMPNNTesting_V6.ipynb	False	0.9035	0.9530	1601	1693	1680
S669_ProteinMPNNTesting_V6_V2.ipynb	ProteinMPNNTesting_V5.ipynb	False	0.8418	0.9509	1490	1693	1567
ProteinMPNNTesting_V5.ipynb	S669_ProteinMPNNTesting_V6_V2.ipynb	False	0.8587	0.9502	1489	1567	1656
S669_ProteinMPNNTesting_V6_V2.ipynb	ProteinMPNNTesting_V4.ipynb	False	0.7986	0.9496	1412	1693	1487
ProteinMPNNTesting_V4.ipynb	S669_ProteinMPNNTesting_V6_V2.ipynb	False	0.8147	0.9489	1411	1487	1656
ProteinMPNNTesting_V6_V2_debug.ipynb	ProteinMPNNTesting_V2.ipynb	False	0.4348	0.9442	744	1667	788
ProteinMPNNTesting_V6_V2.ipynb	ProteinMPNNTesting_V2.ipynb	False	0.4249	0.9442	744	1707	788
Quick_Dirty_MPNN_ML_V2_V3.ipynb	Quick_Dirty_MPNN_ML_V2_V4.ipynb	False	0.8017	0.9375	675	797	720
Quick_Dirty_MPNN_ML_V2_VGRAPHS_V1.ipynb	Quick_Dirty_MPNN_ML_V2_V4.ipynb	False	0.8017	0.9375	675	797	720
ProteinMPNNTesting_V6_V2_debug.ipynb	S669_ProteinMPNNTesting_V3.ipynb	False	0.4263	0.9361	732	1667	782
ProteinMPNNTesting_V6_V2.ipynb	S669_ProteinMPNNTesting_V3.ipynb	False	0.4166	0.9361	732	1707	782
ProteinMPNNTesting_V2.ipynb	ProteinMPNNTesting_V6_V2.ipynb	False	0.4291	0.9327	735	788	1660
S669_ProteinMPNNTesting_V3.ipynb	S669_ProteinMPNNTesting_V6_V2.ipynb	False	0.4266	0.9322	729	782	1656
S669_ProteinMPNNTesting_V6_V2.ipynb	S669_ProteinMPNNTesting_V3.ipynb	False	0.4175	0.9322	729	1693	782
Ssym_ProteinMPNNTesting_V3.ipynb	Ssym_ProteinMPNNTesting_V6_V2.ipynb	False	0.4350	0.9319	753	808	1676
Ssym_ProteinMPNNTesting_V6_V2.ipynb	Ssym_ProteinMPNNTesting_V3.ipynb	False	0.4266	0.9319	753	1710	808
ProteinMPNNTesting_V6_V2.ipynb	Ssym_ProteinMPNNTesting_V3.ipynb	False	0.4265	0.9307	752	1707	808
ProteinMPNNTesting_V2.ipynb	S921_ProteinMPNNTesting_V6_V2.ipynb	False	0.4268	0.9289	732	788	1659
ProteinMPNNTesting_V2.ipynb	Ssym_ProteinMPNNTesting_V6_V2.ipynb	False	0.4226	0.9289	732	788	1676
Ssym_ProteinMPNNTesting_V6_V2.ipynb	ProteinMPNNTesting_V2.ipynb	False	0.4145	0.9289	732	1710	788
ProteinMPNNTesting_V6_V2_debug.ipynb	Ssym_ProteinMPNNTesting_V3.ipynb	False	0.4348	0.9282	750	1667	808
ProteinMPNNTesting_V3.ipynb	ProteinMPNNTesting_V6_V2.ipynb	False	0.4471	0.9276	769	829	1660
ProteinMPNNTesting_V3.ipynb	S921_ProteinMPNNTesting_V6_V2.ipynb	False	0.4465	0.9264	768	829	1659
ProteinMPNNTesting_V3.ipynb	Ssym_ProteinMPNNTesting_V6_V2.ipynb	False	0.4413	0.9252	767	829	1676
S669_ProteinMPNNTesting_V3.ipynb	ProteinMPNNTesting_V6_V2.ipynb	False	0.4206	0.9246	723	782	1660
S669_ProteinMPNNTesting_V3.ipynb	S921_ProteinMPNNTesting_V6_V2.ipynb	False	0.4200	0.9233	722	782	1659
S669_ProteinMPNNTesting_V3.ipynb	Ssym_ProteinMPNNTesting_V6_V2.ipynb	False	0.4159	0.9233	722	782	1676
Ssym_ProteinMPNNTesting_V6_V2.ipynb	S669_ProteinMPNNTesting_V3.ipynb	False	0.4079	0.9233	722	1710	782
ProteinMPNNTesting.ipynb	ProteinMPNNTesting_V2.ipynb	False	0.7570	0.9213	726	897	788
ProteinMPNNTesting_V2.ipynb	ProteinMPNNTesting.ipynb	False	0.7570	0.9213	726	788	897
S669_ProteinMPNNTesting_V6_V2.ipynb	ProteinMPNNTesting_V2.ipynb	False	0.4129	0.9201	725	1693	788
ProteinMPNNTesting_V2.ipynb	S669_ProteinMPNNTesting_V6_V2.ipynb	False	0.4209	0.9188	724	788	1656
Ssym_ProteinMPNNTesting_V3.ipynb	ProteinMPNNTesting_V6_V2.ipynb	False	0.4291	0.9171	741	808	1660
Ssym_ProteinMPNNTesting_V3.ipynb	S921_ProteinMPNNTesting_V6_V2.ipynb	False	0.4285	0.9158	740	808	1659
ProteinMPNNTesting_V3.ipynb	S669_ProteinMPNNTesting_V6_V2.ipynb	False	0.4397	0.9156	759	829	1656
ProteinMPNNTesting.ipynb	S669_ProteinMPNNTesting_V3.ipynb	False	0.7381	0.9118	713	897	782
S669_ProteinMPNNTesting_V3.ipynb	ProteinMPNNTesting.ipynb	False	0.7381	0.9118	713	782	897
ProteinMPNNTesting_V7.ipynb	ProteinMPNNTesting_V4.ipynb	False	0.3242	0.9104	498	547	1487
S669_ProteinMPNNTesting_V6_V2.ipynb	Ssym_ProteinMPNNTesting_V3.ipynb	False	0.4162	0.9097	735	1693	808
Ssym_ProteinMPNNTesting_V3.ipynb	S669_ProteinMPNNTesting_V6_V2.ipynb	False	0.4226	0.9059	732	808	1656
ProteinMPNNTesting.ipynb	Ssym_ProteinMPNNTesting_V3.ipynb	False	0.7451	0.9010	728	897	808
Ssym_ProteinMPNNTesting_V3.ipynb	ProteinMPNNTesting.ipynb	False	0.7451	0.9010	728	808	897
ProteinMPNNTesting_V7.ipynb	ProteinMPNNTesting_V6_V2.ipynb	False	0.2809	0.8848	484	547	1660
ProteinMPNNTesting_V7.ipynb	S669_ProteinMPNNTesting_V6_V2.ipynb	False	0.2801	0.8812	482	547	1656
ProteinMPNNTesting_V7.ipynb	S921_ProteinMPNNTesting_V6_V2.ipynb	False	0.2796	0.8812	482	547	1659
ProteinMPNNTesting_V7.ipynb	Ssym_ProteinMPNNTesting_V6_V2.ipynb	False	0.2769	0.8812	482	547	1676
ProteinMPNNTesting_V3.ipynb	ProteinMPNNTesting.ipynb	False	0.7312	0.8794	729	829	897
Preparing_Fasta_Files_For_PROVEAN.ipynb	S669_ProteinMPNNTesting_V6.ipynb	False	0.0346	0.8788	58	66	1666
ProteinMPNNTesting.ipynb	ProteinMPNNTesting_V4.ipynb	False	0.4928	0.8774	787	897	1487
ProteinMPNNTesting_V4.ipynb	ProteinMPNNTesting.ipynb	False	0.4928	0.8774	787	1487	897
ProteinMPNNTesting.ipynb	ProteinMPNNTesting_V5.ipynb	False	0.4684	0.8763	786	897	1567
ProteinMPNNTesting_V5.ipynb	ProteinMPNNTesting.ipynb	False	0.4684	0.8763	786	1567	897
ProteinMPNNTesting_V6.ipynb	ProteinMPNNTesting.ipynb	False	0.4426	0.8763	786	1665	897
ProteinMPNNTesting.ipynb	Ssym_ProteinMPNNTesting_V6.ipynb	False	0.4373	0.8740	784	897	1680
Ssym_ProteinMPNNTesting_V6.ipynb	ProteinMPNNTesting.ipynb	False	0.4373	0.8740	784	1680	897
ProteinMPNNTesting.ipynb	ProteinMPNNTesting_V6.ipynb	False	0.4374	0.8729	783	897	1676
S669_ProteinMPNNTesting_V6.ipynb	ProteinMPNNTesting.ipynb	False	0.4377	0.8651	776	1652	897
ProteinMPNNTesting.ipynb	S669_ProteinMPNNTesting_V6.ipynb	False	0.4342	0.8651	776	897	1666
Preparing_Fasta_Files_For_PROVEAN.ipynb	S669_ProteinMPNNTesting_V3.ipynb	False	0.0721	0.8636	57	66	782
Preparing_Fasta_Files_For_PROVEAN.ipynb	ProteinMPNNTesting_V5.ipynb	False	0.0362	0.8636	57	66	1567
Preparing_Fasta_Files_For_PROVEAN.ipynb	S669_ProteinMPNNTesting_V6_V2.ipynb	False	0.0342	0.8636	57	66	1656
Preparing_Fasta_Files_For_PROVEAN.ipynb	ProteinMPNNTesting_V6.ipynb	False	0.0338	0.8636	57	66	1676
Preparing_Fasta_Files_For_PROVEAN.ipynb	Ssym_ProteinMPNNTesting_V6.ipynb	False	0.0337	0.8636	57	66	1680
Preparing_Fasta_Files_For_PROVEAN.ipynb	ProteinMPNNTesting_V2.ipynb	False	0.0702	0.8485	56	66	788
Preparing_Fasta_Files_For_PROVEAN.ipynb	Ssym_ProteinMPNNTesting_V3.ipynb	False	0.0685	0.8485	56	66	808
Preparing_Fasta_Files_For_PROVEAN.ipynb	ProteinMPNNTesting.ipynb	False	0.0617	0.8485	56	66	897
Preparing_Fasta_Files_For_PROVEAN.ipynb	ProteinMPNNTesting_V4.ipynb	False	0.0374	0.8485	56	66	1487
Preparing_Fasta_Files_For_PROVEAN.ipynb	S921_ProteinMPNNTesting_V6_V2.ipynb	False	0.0336	0.8485	56	66	1659
Preparing_Fasta_Files_For_PROVEAN.ipynb	ProteinMPNNTesting_V6_V2.ipynb	False	0.0335	0.8485	56	66	1660
Preparing_Fasta_Files_For_PROVEAN.ipynb	Ssym_ProteinMPNNTesting_V6_V2.ipynb	False	0.0332	0.8485	56	66	1676
ProteinMPNNTesting_V6_V2.ipynb	ProteinMPNNTesting.ipynb	False	0.4114	0.8462	759	1707	897
