notebook_a	notebook_b	jaccard	containment_smaller	shared_tokens	tokens_a	tokens_b
ProteinMPNNTesting.ipynb	Ssym_ProteinMPNNTesting_V6.ipynb	0.4373	0.8740	784	897	1680
ProteinMPNNTesting.ipynb	S669_ProteinMPNNTesting_V6.ipynb	0.4377	0.8651	776	897	1652
Preparing_Fasta_Files_For_PROVEAN.ipynb	S669_ProteinMPNNTesting_V3.ipynb	0.0721	0.8636	57	66	782
Preparing_Fasta_Files_For_PROVEAN.ipynb	ProteinMPNNTesting_V5.ipynb	0.0362	0.8636	57	66	1567
Preparing_Fasta_Files_For_PROVEAN.ipynb	ProteinMPNNTesting_V6.ipynb	0.0341	0.8636	57	66	1665
Preparing_Fasta_Files_For_PROVEAN.ipynb	Ssym_ProteinMPNNTesting_V6.ipynb	0.0337	0.8636	57	66	1680
Preparing_Fasta_Files_For_PROVEAN.ipynb	S669_ProteinMPNNTesting_V6_V2.ipynb	0.0335	0.8636	57	66	1693
Preparing_Fasta_Files_For_PROVEAN.ipynb	ProteinMPNNTesting_V2.ipynb	0.0702	0.8485	56	66	788
Preparing_Fasta_Files_For_PROVEAN.ipynb	Ssym_ProteinMPNNTesting_V3.ipynb	0.0685	0.8485	56	66	808
Preparing_Fasta_Files_For_PROVEAN.ipynb	ProteinMPNNTesting_V3.ipynb	0.0667	0.8485	56	66	829
Preparing_Fasta_Files_For_PROVEAN.ipynb	ProteinMPNNTesting.ipynb	0.0617	0.8485	56	66	897
Preparing_Fasta_Files_For_PROVEAN.ipynb	ProteinMPNNTesting_V4.ipynb	0.0374	0.8485	56	66	1487
Preparing_Fasta_Files_For_PROVEAN.ipynb	ProteinMPNNTesting_V6_V2_debug.ipynb	0.0334	0.8485	56	66	1667
Preparing_Fasta_Files_For_PROVEAN.ipynb	ProteinMPNNTesting_V6_V2.ipynb	0.0326	0.8485	56	66	1707
Preparing_Fasta_Files_For_PROVEAN.ipynb	Ssym_ProteinMPNNTesting_V6_V2.ipynb	0.0326	0.8485	56	66	1710
PROVEAN_VAR_creation.ipynb	PyRun_Notebook_V16 (1).ipynb	0.1150	0.8478	156	184	1328
PROVEAN_VAR_creation.ipynb	PyRun_Notebook_V16.ipynb	0.1150	0.8478	156	184	1328
PROVEAN_VAR_creation.ipynb	PyRun_Notebook_V16_new_colab.ipynb	0.1150	0.8478	156	184	1329
ProteinMPNNTesting.ipynb	ProteinMPNNTesting_V6_V2.ipynb	0.4114	0.8462	759	897	1707
ProteinMPNNTesting.ipynb	ProteinMPNNTesting_V6_V2_debug.ipynb	0.4197	0.8450	758	897	1667
ProteinMPNNTesting.ipynb	Ssym_ProteinMPNNTesting_V6_V2.ipynb	0.4024	0.8339	748	897	1710
ProteinMPNNTesting.ipynb	S669_ProteinMPNNTesting_V6_V2.ipynb	0.4008	0.8261	741	897	1693
PROVEAN_VAR_creation.ipynb	ProteinMPNNTesting_V6_V2.ipynb	0.0855	0.8098	149	184	1707
PROVEAN_VAR_creation.ipynb	ProteinMPNNTesting_V6_V2_debug.ipynb	0.0869	0.8043	148	184	1667
Preparing_Fasta_Files_For_PROVEAN.ipynb	ProteinMPNNTesting_V7.ipynb	0.0946	0.8030	53	66	547
ProteinMPNNTesting_V3.ipynb	ProteinMPNNTesting_V7.ipynb	0.4685	0.8026	439	829	547
PROVEAN_VAR_creation.ipynb	ProteinMPNNTesting_V5.ipynb	0.0916	0.7989	147	184	1567
PROVEAN_VAR_creation.ipynb	ProteinMPNNTesting_V6.ipynb	0.0864	0.7989	147	184	1665
PROVEAN_VAR_creation.ipynb	Ssym_ProteinMPNNTesting_V6_V2.ipynb	0.0841	0.7989	147	184	1710
PROVEAN_VAR_creation.ipynb	ProteinMPNNTesting_V4.ipynb	0.0957	0.7935	146	184	1487
Quick_Dirty_MPNN_ML.ipynb	Quick_Dirty_MPNN_ML_V2_V2.ipynb	0.5540	0.7904	426	539	656
ProteinMPNNTesting_V7.ipynb	S669_ProteinMPNNTesting_V3.ipynb	0.4816	0.7898	432	547	782
ProteinMPNNTesting_V2.ipynb	ProteinMPNNTesting_V7.ipynb	0.4784	0.7898	432	788	547
ProteinMPNNTesting_V7.ipynb	Ssym_ProteinMPNNTesting_V3.ipynb	0.4680	0.7898	432	547	808
Quick_Dirty_MPNN_ML_V2.ipynb	Quick_Dirty_MPNN_ML_V2_V2.ipynb	0.6487	0.7881	517	658	656
PROVEAN_VAR_creation.ipynb	Ssym_ProteinMPNNTesting_V6.ipynb	0.0844	0.7880	145	184	1680
PROVEAN_VAR_creation.ipynb	Preparing_Fasta_Files_For_PROVEAN.ipynb	0.2626	0.7879	52	184	66
Preparing_Fasta_Files_For_PROVEAN.ipynb	Quick_Dirty_MPNN_ML.ipynb	0.0940	0.7879	52	66	539
Preparing_Fasta_Files_For_PROVEAN.ipynb	Quick_Dirty_MPNN_ML_V2.ipynb	0.0774	0.7879	52	66	658
ProteinMPNNTesting.ipynb	ProteinMPNNTesting_V7.ipynb	0.4241	0.7861	430	897	547
PROVEAN_VAR_creation.ipynb	S669_ProteinMPNNTesting_V6_V2.ipynb	0.0831	0.7826	144	184	1693
Preparing_Fasta_Files_For_PROVEAN.ipynb	Quick_Dirty_MPNN_ML_V2_V3.ipynb	0.0628	0.7727	51	66	797
Preparing_Fasta_Files_For_PROVEAN.ipynb	Quick_Dirty_MPNN_ML_V2_VGRAPHS_V1.ipynb	0.0628	0.7727	51	66	797
PROVEAN_VAR_creation.ipynb	ProteinMPNNTesting.ipynb	0.1512	0.7717	142	184	897
PROVEAN_VAR_creation.ipynb	S669_ProteinMPNNTesting_V6.ipynb	0.0832	0.7663	141	184	1652
Quick_Dirty_MPNN_ML_V2_V2.ipynb	Quick_Dirty_MPNN_ML_V2_V3.ipynb	0.5247	0.7622	500	656	797
Quick_Dirty_MPNN_ML_V2_V2.ipynb	Quick_Dirty_MPNN_ML_V2_VGRAPHS_V1.ipynb	0.5247	0.7622	500	656	797
Preparing_Fasta_Files_For_PROVEAN.ipynb	Quick_Dirty_MPNN_ML_V2_V2.ipynb	0.0744	0.7576	50	66	656
PROVEAN_VAR_creation.ipynb	ProteinMPNNTesting_V3.ipynb	0.1577	0.7500	138	184	829
PROVEAN_VAR_creation.ipynb	ProteinMPNNTesting_V2.ipynb	0.1641	0.7446	137	184	788
PROVEAN_VAR_creation.ipynb	Ssym_ProteinMPNNTesting_V3.ipynb	0.1589	0.7391	136	184	808
Quick_Dirty_MPNN_ML.ipynb	Quick_Dirty_MPNN_ML_V2_V3.ipynb	0.3917	0.6976	376	539	797
Quick_Dirty_MPNN_ML.ipynb	Quick_Dirty_MPNN_ML_V2_VGRAPHS_V1.ipynb	0.3917	0.6976	376	539	797
Ssym_ProteinMPNNTesting_V6.ipynb	proteinmpnn_quickdemo.ipynb	0.2327	0.6971	435	1680	624
PROVEAN_VAR_creation.ipynb	S669_ProteinMPNNTesting_V3.ipynb	0.1527	0.6957	128	184	782
S669_ProteinMPNNTesting_V6.ipynb	proteinmpnn_quickdemo.ipynb	0.2356	0.6955	434	1652	624
ProteinMPNNTesting_V6.ipynb	proteinmpnn_quickdemo.ipynb	0.2333	0.6939	433	1665	624
Ssym_ProteinMPNNTesting_V6_V2.ipynb	proteinmpnn_quickdemo.ipynb	0.2278	0.6939	433	1710	624
S669_ProteinMPNNTesting_V6_V2.ipynb	proteinmpnn_quickdemo.ipynb	0.2292	0.6923	432	1693	624
ProteinMPNNTesting_V6_V2.ipynb	proteinmpnn_quickdemo.ipynb	0.2275	0.6923	432	1707	624
ProteinMPNNTesting_V6_V2_debug.ipynb	proteinmpnn_quickdemo.ipynb	0.2311	0.6891	430	1667	624
ProteinMPNNTesting_V5.ipynb	proteinmpnn_quickdemo.ipynb	0.2414	0.6827	426	1567	624
ProteinMPNNTesting_V4.ipynb	proteinmpnn_quickdemo.ipynb	0.2476	0.6715	419	1487	624
PyRun_Notebook_V16 (1).ipynb	Untitled1.ipynb	0.0157	0.6562	21	1328	32
PyRun_Notebook_V16.ipynb	Untitled1.ipynb	0.0157	0.6562	21	1328	32
PyRun_Notebook_V16_new_colab.ipynb	Untitled1.ipynb	0.0157	0.6562	21	1329	32
ProteinMPNNTesting_V4.ipynb	Untitled1.ipynb	0.0140	0.6562	21	1487	32
ProteinMPNNTesting_V5.ipynb	Untitled1.ipynb	0.0133	0.6562	21	1567	32
S669_ProteinMPNNTesting_V6.ipynb	Untitled1.ipynb	0.0126	0.6562	21	1652	32
ProteinMPNNTesting_V6.ipynb	Untitled1.ipynb	0.0125	0.6562	21	1665	32
ProteinMPNNTesting_V6_V2_debug.ipynb	Untitled1.ipynb	0.0125	0.6562	21	1667	32
Ssym_ProteinMPNNTesting_V6.ipynb	Untitled1.ipynb	0.0124	0.6562	21	1680	32
S669_ProteinMPNNTesting_V6_V2.ipynb	Untitled1.ipynb	0.0123	0.6562	21	1693	32
ProteinMPNNTesting_V6_V2.ipynb	Untitled1.ipynb	0.0122	0.6562	21	1707	32
Ssym_ProteinMPNNTesting_V6_V2.ipynb	Untitled1.ipynb	0.0122	0.6562	21	1710	32
Quick_Dirty_MPNN_ML_V2.ipynb	Quick_Dirty_MPNN_ML_V2_V3.ipynb	0.4113	0.6444	424	658	797
Quick_Dirty_MPNN_ML_V2.ipynb	Quick_Dirty_MPNN_ML_V2_VGRAPHS_V1.ipynb	0.4113	0.6444	424	658	797
ProteinMPNNTesting.ipynb	Untitled1.ipynb	0.0220	0.6250	20	897	32
Quick_Dirty_MPNN_ML.ipynb	Ssym_ProteinMPNNTesting_V6_V2.ipynb	0.1756	0.6234	336	539	1710
Quick_Dirty_MPNN_ML.ipynb	S669_ProteinMPNNTesting_V6_V2.ipynb	0.1754	0.6178	333	539	1693
ProteinMPNNTesting_V6_V2.ipynb	Quick_Dirty_MPNN_ML.ipynb	0.1741	0.6178	333	1707	539
Quick_Dirty_MPNN_ML.ipynb	Ssym_ProteinMPNNTesting_V6.ipynb	0.1735	0.6085	328	539	1680
ProteinMPNNTesting_V6_V2_debug.ipynb	Quick_Dirty_MPNN_ML.ipynb	0.1728	0.6030	325	1667	539
ProteinMPNNTesting_V6.ipynb	Quick_Dirty_MPNN_ML.ipynb	0.1705	0.5955	321	1665	539
Quick_Dirty_MPNN_ML.ipynb	S669_ProteinMPNNTesting_V6.ipynb	0.1710	0.5937	320	539	1652
ProteinMPNNTesting_V6_V2.ipynb	Quick_Dirty_MPNN_ML_V2_V2.ipynb	0.1971	0.5930	389	1707	656
Quick_Dirty_MPNN_ML_V2_V2.ipynb	Ssym_ProteinMPNNTesting_V6_V2.ipynb	0.1968	0.5930	389	656	1710
PROVEAN_VAR_creation.ipynb	ProteinMPNNTesting_V7.ipynb	0.1752	0.5924	109	184	547
Quick_Dirty_MPNN_ML_V2_V2.ipynb	S669_ProteinMPNNTesting_V6_V2.ipynb	0.1972	0.5899	387	656	1693
Quick_Dirty_MPNN_ML_V2.ipynb	Ssym_ProteinMPNNTesting_V6.ipynb	0.1965	0.5836	384	658	1680
ProteinMPNNTesting_V7.ipynb	PyRun_Notebook_V16_new_colab.ipynb	0.2018	0.5759	315	547	1329
ProteinMPNNTesting_V7.ipynb	PyRun_Notebook_V16 (1).ipynb	0.2012	0.5740	314	547	1328
ProteinMPNNTesting_V7.ipynb	PyRun_Notebook_V16.ipynb	0.2012	0.5740	314	547	1328
Quick_Dirty_MPNN_ML_V2_V2.ipynb	Ssym_ProteinMPNNTesting_V6.ipynb	0.1918	0.5732	376	656	1680
ProteinMPNNTesting_V6.ipynb	Quick_Dirty_MPNN_ML_V2.ipynb	0.1937	0.5729	377	1665	658
Quick_Dirty_MPNN_ML_V2.ipynb	S669_ProteinMPNNTesting_V6.ipynb	0.1944	0.5714	376	658	1652
ProteinMPNNTesting_V5.ipynb	Quick_Dirty_MPNN_ML.ipynb	0.1713	0.5714	308	1567	539
ProteinMPNNTesting_V6.ipynb	Quick_Dirty_MPNN_ML_V2_V2.ipynb	0.1896	0.5640	370	1665	656
ProteinMPNNTesting_V6_V2_debug.ipynb	Quick_Dirty_MPNN_ML_V2_V2.ipynb	0.1895	0.5640	370	1667	656
ProteinMPNNTesting_V6_V2.ipynb	Quick_Dirty_MPNN_ML_V2.ipynb	0.1861	0.5638	371	1707	658
Quick_Dirty_MPNN_ML_V2.ipynb	Ssym_ProteinMPNNTesting_V6_V2.ipynb	0.1858	0.5638	371	658	1710
Quick_Dirty_MPNN_ML_V2_V2.ipynb	S669_ProteinMPNNTesting_V6.ipynb	0.1903	0.5625	369	656	1652
Quick_Dirty_MPNN_ML_V2.ipynb	S669_ProteinMPNNTesting_V6_V2.ipynb	0.1856	0.5593	368	658	1693
PROVEAN_VAR_creation.ipynb	Quick_Dirty_MPNN_ML_V2_V3.ipynb	0.1160	0.5543	102	184	797
PROVEAN_VAR_creation.ipynb	Quick_Dirty_MPNN_ML_V2_VGRAPHS_V1.ipynb	0.1160	0.5543	102	184	797
ProteinMPNNTesting_V6_V2_debug.ipynb	Quick_Dirty_MPNN_ML_V2.ipynb	0.1850	0.5517	363	1667	658
ProteinMPNNTesting_V5.ipynb	Quick_Dirty_MPNN_ML_V2.ipynb	0.1943	0.5502	362	1567	658
ProteinMPNNTesting_V4.ipynb	Quick_Dirty_MPNN_ML.ipynb	0.1704	0.5473	295	1487	539
ProteinMPNNTesting_V7.ipynb	Quick_Dirty_MPNN_ML_V2_V3.ipynb	0.2824	0.5411	296	547	797
ProteinMPNNTesting_V7.ipynb	Quick_Dirty_MPNN_ML_V2_VGRAPHS_V1.ipynb	0.2824	0.5411	296	547	797
ProteinMPNNTesting.ipynb	proteinmpnn_quickdemo.ipynb	0.2825	0.5369	335	897	624
ProteinMPNNTesting_V7.ipynb	Quick_Dirty_MPNN_ML_V2.ipynb	0.3213	0.5356	293	547	658
ProteinMPNNTesting_V5.ipynb	Quick_Dirty_MPNN_ML_V2_V2.ipynb	0.1875	0.5351	351	1567	656
PROVEAN_VAR_creation.ipynb	Quick_Dirty_MPNN_ML_V2.ipynb	0.1317	0.5326	98	184	658
Ssym_ProteinMPNNTesting_V3.ipynb	Untitled1.ipynb	0.0207	0.5312	17	808	32
ProteinMPNNTesting_V4.ipynb	Quick_Dirty_MPNN_ML_V2.ipynb	0.1943	0.5304	349	1487	658
PROVEAN_VAR_creation.ipynb	Quick_Dirty_MPNN_ML_V2_V2.ipynb	0.1290	0.5217	96	184	656
ProteinMPNNTesting_V4.ipynb	Quick_Dirty_MPNN_ML_V2_V2.ipynb	0.1879	0.5168	339	1487	656
PROVEAN_VAR_creation.ipynb	Quick_Dirty_MPNN_ML.ipynb	0.1513	0.5163	95	184	539
