pickle_file	run_index	metric_key	dataset	split	metric	metric_kind	feature_combo	value
list_incremental_feature_result_dict.pickle	0	S_921_total_RMSE	S_921	total	RMSE	feature_combo_dict	A+B+C+D+E+F+G+H	1.4936482161716735
list_incremental_feature_result_dict.pickle	0	S_921_direct_RMSE	S_921	direct	RMSE	feature_combo_dict	A	1.768282858624499
list_incremental_feature_result_dict.pickle	0	S_921_direct_RMSE	S_921	direct	RMSE	feature_combo_dict	A+B	1.6762168278594567
list_incremental_feature_result_dict.pickle	0	S_921_direct_RMSE	S_921	direct	RMSE	feature_combo_dict	A+B+C	1.6942750304244736
list_incremental_feature_result_dict.pickle	0	S_921_direct_RMSE	S_921	direct	RMSE	feature_combo_dict	A+B+C+D	1.6278378308589583
list_incremental_feature_result_dict.pickle	0	S_921_direct_RMSE	S_921	direct	RMSE	feature_combo_dict	A+B+C+D+E	1.5578133094050097
list_incremental_feature_result_dict.pickle	0	S_921_direct_RMSE	S_921	direct	RMSE	feature_combo_dict	A+B+C+D+E+F	1.4998246066422296
list_incremental_feature_result_dict.pickle	0	S_921_direct_RMSE	S_921	direct	RMSE	feature_combo_dict	A+B+C+D+E+F+G	1.4980209646767404
list_incremental_feature_result_dict.pickle	0	S_921_direct_RMSE	S_921	direct	RMSE	feature_combo_dict	A+B+C+D+E+F+G+H	1.4925960587635283
list_incremental_feature_result_dict.pickle	0	S_921_reverse_RMSE	S_921	reverse	RMSE	feature_combo_dict	A	1.7714537942923805
list_incremental_feature_result_dict.pickle	0	S_921_reverse_RMSE	S_921	reverse	RMSE	feature_combo_dict	A+B	1.6795762970417096
list_incremental_feature_result_dict.pickle	0	S_921_reverse_RMSE	S_921	reverse	RMSE	feature_combo_dict	A+B+C	1.688950967170409
list_incremental_feature_result_dict.pickle	0	S_921_reverse_RMSE	S_921	reverse	RMSE	feature_combo_dict	A+B+C+D	1.6179691985765634
list_incremental_feature_result_dict.pickle	0	S_921_reverse_RMSE	S_921	reverse	RMSE	feature_combo_dict	A+B+C+D+E	1.5593437175067602
list_incremental_feature_result_dict.pickle	0	S_921_reverse_RMSE	S_921	reverse	RMSE	feature_combo_dict	A+B+C+D+E+F	1.5077473139942488
list_incremental_feature_result_dict.pickle	0	S_921_reverse_RMSE	S_921	reverse	RMSE	feature_combo_dict	A+B+C+D+E+F+G	1.4998068996926377
list_incremental_feature_result_dict.pickle	0	S_921_reverse_RMSE	S_921	reverse	RMSE	feature_combo_dict	A+B+C+D+E+F+G+H	1.4946996329394167
list_incremental_feature_result_dict.pickle	0	S_669_total_PCC	S_669	total	PCC	feature_combo_dict	A	0.47151430048969867
list_incremental_feature_result_dict.pickle	0	S_669_total_PCC	S_669	total	PCC	feature_combo_dict	A+B	0.5270863458229192
list_incremental_feature_result_dict.pickle	0	S_669_total_PCC	S_669	total	PCC	feature_combo_dict	A+B+C	0.5784716022064003
list_incremental_feature_result_dict.pickle	0	S_669_total_PCC	S_669	total	PCC	feature_combo_dict	A+B+C+D	0.6008739782863889
list_incremental_feature_result_dict.pickle	0	S_669_total_PCC	S_669	total	PCC	feature_combo_dict	A+B+C+D+E	0.6376610503815945
list_incremental_feature_result_dict.pickle	0	S_669_total_PCC	S_669	total	PCC	feature_combo_dict	A+B+C+D+E+F	0.6436764766461097
list_incremental_feature_result_dict.pickle	0	S_669_total_PCC	S_669	total	PCC	feature_combo_dict	A+B+C+D+E+F+G	0.6441103250226933
