artifact_relative_path	artifact_basename	source_file	source_group	line_number	reference_state	line_text
Ssym_pmppn_info_dict.pickle	Ssym_pmppn_info_dict.pickle	colab_notebooks_inventory_analysis/notebook_sources/Ssym_ProteinMPNNTesting_V6.ipynb.py.txt	historical_notebook_source_export	1935	commented	"# with open(""Ssym_pmppn_info_dict.pickle"",""rb"") as f:"
Ssym_full_feature_dict.pickle	Ssym_full_feature_dict.pickle	colab_notebooks_inventory_analysis/notebook_sources/Ssym_ProteinMPNNTesting_V6.ipynb.py.txt	historical_notebook_source_export	2259	commented	"# with open(""Ssym_full_feature_dict.pickle"",""wb"") as f:"
Ssym_pmppn_info_dict_V2.pickle	Ssym_pmppn_info_dict_V2.pickle	colab_notebooks_inventory_analysis/notebook_sources/Ssym_ProteinMPNNTesting_V6_V2.ipynb.py.txt	historical_notebook_source_export	1958	commented	"# with open(""Ssym_pmppn_info_dict_V2.pickle"",""wb"") as f:"
Ssym_pmppn_info_dict_V2.pickle	Ssym_pmppn_info_dict_V2.pickle	colab_notebooks_inventory_analysis/notebook_sources/Ssym_ProteinMPNNTesting_V6_V2.ipynb.py.txt	historical_notebook_source_export	1963	commented	"# with open(""Ssym_pmppn_info_dict_V2.pickle"",""rb"") as f:"
ProteinMPNN/colab_notebooks/quickdemo.ipynb	quickdemo.ipynb	colab_notebooks_inventory_analysis/notebook_sources/proteinmpnn_quickdemo.ipynb.py.txt	historical_notebook_source_export	1	commented	# Source export for colab_drive_copy notebook: proteinmpnn_quickdemo.ipynb
res_dict.pickle	res_dict.pickle	colab_notebooks_inventory_analysis/git_notebook_sources/ProteinMPNNTesting.ipynb.py.txt	historical_notebook_source_export	317	commented	"# with open(""res_dict.pickle"",""wb"") as f:"
res_dict.pickle	res_dict.pickle	colab_notebooks_inventory_analysis/git_notebook_sources/ProteinMPNNTesting.ipynb.py.txt	historical_notebook_source_export	322	commented	"# with open(""res_dict.pickle"",""rb"") as f:"
res_dict.pickle	res_dict.pickle	colab_notebooks_inventory_analysis/git_notebook_sources/ProteinMPNNTesting_V2.ipynb.py.txt	historical_notebook_source_export	404	commented	"# with open(""res_dict.pickle"",""wb"") as f:"
res_dict.pickle	res_dict.pickle	colab_notebooks_inventory_analysis/git_notebook_sources/ProteinMPNNTesting_V2.ipynb.py.txt	historical_notebook_source_export	409	commented	"# with open(""res_dict.pickle"",""rb"") as f:"
dat.xlsx	dat.xlsx	colab_notebooks_inventory_analysis/git_notebook_sources/ProteinMPNNTesting_V4.ipynb.py.txt	historical_notebook_source_export	1818	commented	"# write_frame_loc.to_excel(""dat.xlsx"",float_format=""%.3f"")"
